




Analysis Type:	PANTHER Overrepresentation Test (Released 20231017)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-01-05
Analyzed List:	FS_True_MC_None_VG_None.txt (Bacillus subtilis)
Reference List:	reference.txt (Bacillus subtilis)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	reference.txt - REFLIST (883)	FS_True_MC_None_VG_None.txt (173)	FS_True_MC_None_VG_None.txt (expected)	FS_True_MC_None_VG_None.txt (over/under)	FS_True_MC_None_VG_None.txt (fold Enrichment)	FS_True_MC_None_VG_None.txt (raw P-value)	FS_True_MC_None_VG_None.txt (FDR)
tRNA aminoacylation for protein translation (GO:0006418)	19	19	3.72	+	5.10	9.69E-07	4.34E-05
translation (GO:0006412)	84	84	16.46	+	5.10	3.77E-30	1.35E-27
teichoic acid metabolic process (GO:0046374)	14	14	2.74	+	5.10	2.97E-05	1.04E-03
tRNA aminoacylation (GO:0043039)	21	21	4.11	+	5.10	2.43E-07	1.20E-05
amino acid activation (GO:0043038)	21	21	4.11	+	5.10	2.43E-07	1.16E-05
teichoic acid biosynthetic process (GO:0019350)	14	14	2.74	+	5.10	2.97E-05	1.01E-03
organelle organization (GO:0006996)	8	8	1.57	+	5.10	1.75E-03	2.73E-02
protein-containing complex organization (GO:0043933)	9	9	1.76	+	5.10	8.86E-04	1.61E-02
peptide biosynthetic process (GO:0043043)	87	84	17.05	+	4.93	2.13E-29	6.11E-27
peptide metabolic process (GO:0006518)	87	84	17.05	+	4.93	2.13E-29	5.09E-27
gene expression (GO:0010467)	101	97	19.79	+	4.90	3.34E-35	1.59E-32
tRNA metabolic process (GO:0006399)	28	26	5.49	+	4.74	2.03E-08	1.12E-06
ncRNA metabolic process (GO:0034660)	37	34	7.25	+	4.69	1.05E-10	8.34E-09
protein metabolic process (GO:0019538)	93	85	18.22	+	4.66	1.24E-28	2.53E-26
ribosome biogenesis (GO:0042254)	18	16	3.53	+	4.54	2.05E-05	7.72E-04
ribonucleoprotein complex biogenesis (GO:0022613)	18	16	3.53	+	4.54	2.05E-05	7.52E-04
RNA metabolic process (GO:0016070)	63	53	12.34	+	4.29	1.38E-15	1.52E-13
rRNA processing (GO:0006364)	12	10	2.35	+	4.25	1.16E-03	1.98E-02
rRNA metabolic process (GO:0016072)	12	10	2.35	+	4.25	1.16E-03	1.96E-02
ncRNA processing (GO:0034470)	17	14	3.33	+	4.20	1.24E-04	2.96E-03
RNA processing (GO:0006396)	20	16	3.92	+	4.08	4.99E-05	1.62E-03
nucleic acid metabolic process (GO:0090304)	69	55	13.52	+	4.07	1.74E-15	1.78E-13
macromolecule biosynthetic process (GO:0009059)	148	117	29.00	+	4.03	1.80E-39	1.29E-36
DNA-templated transcription (GO:0006351)	23	17	4.51	+	3.77	5.79E-05	1.76E-03
RNA biosynthetic process (GO:0032774)	23	17	4.51	+	3.77	5.79E-05	1.73E-03
amide biosynthetic process (GO:0043604)	120	88	23.51	+	3.74	7.69E-25	1.38E-22
macromolecule metabolic process (GO:0043170)	188	132	36.83	+	3.58	2.31E-43	3.31E-40
regulation of nitrogen compound metabolic process (GO:0051171)	27	18	5.29	+	3.40	9.14E-05	2.42E-03
regulation of primary metabolic process (GO:0080090)	27	18	5.29	+	3.40	9.14E-05	2.38E-03
regulation of cellular metabolic process (GO:0031323)	27	18	5.29	+	3.40	9.14E-05	2.34E-03
regulation of metabolic process (GO:0019222)	31	20	6.07	+	3.29	5.05E-05	1.61E-03
regulation of macromolecule metabolic process (GO:0060255)	31	20	6.07	+	3.29	5.05E-05	1.57E-03
regulation of nucleobase-containing compound metabolic process (GO:0019219)	25	16	4.90	+	3.27	3.26E-04	7.30E-03
regulation of macromolecule biosynthetic process (GO:0010556)	25	16	4.90	+	3.27	3.26E-04	7.19E-03
regulation of biosynthetic process (GO:0009889)	25	16	4.90	+	3.27	3.26E-04	7.08E-03
regulation of cellular biosynthetic process (GO:0031326)	25	16	4.90	+	3.27	3.26E-04	6.97E-03
amide metabolic process (GO:0043603)	140	89	27.43	+	3.24	7.49E-22	1.19E-19
regulation of gene expression (GO:0010468)	30	19	5.88	+	3.23	9.53E-05	2.40E-03
regulation of RNA metabolic process (GO:0051252)	24	15	4.70	+	3.19	6.11E-04	1.18E-02
regulation of DNA-templated transcription (GO:0006355)	23	14	4.51	+	3.11	1.14E-03	1.98E-02
regulation of RNA biosynthetic process (GO:2001141)	23	14	4.51	+	3.11	1.14E-03	1.96E-02
cellular component biogenesis (GO:0044085)	53	32	10.38	+	3.08	7.05E-07	3.25E-05
regulation of cellular process (GO:0050794)	31	18	6.07	+	2.96	4.57E-04	9.34E-03
cellular component organization or biogenesis (GO:0071840)	68	39	13.32	+	2.93	1.09E-07	5.80E-06
biological regulation (GO:0065007)	58	27	11.36	+	2.38	2.05E-04	4.67E-03
cellular component organization (GO:0016043)	50	23	9.80	+	2.35	8.38E-04	1.56E-02
cellular nitrogen compound biosynthetic process (GO:0044271)	260	111	50.94	+	2.18	1.66E-17	2.15E-15
cellular nitrogen compound metabolic process (GO:0034641)	309	127	60.54	+	2.10	1.01E-20	1.44E-18
nucleobase-containing compound metabolic process (GO:0006139)	178	68	34.87	+	1.95	2.18E-07	1.11E-05
cellular biosynthetic process (GO:0044249)	406	136	79.54	+	1.71	1.27E-15	1.52E-13
organic substance biosynthetic process (GO:1901576)	435	138	85.23	+	1.62	3.77E-14	3.60E-12
biosynthetic process (GO:0009058)	441	138	86.40	+	1.60	1.33E-13	1.19E-11
organonitrogen compound biosynthetic process (GO:1901566)	326	98	63.87	+	1.53	1.79E-06	7.77E-05
cellular aromatic compound metabolic process (GO:0006725)	231	69	45.26	+	1.52	4.29E-04	8.90E-03
heterocycle metabolic process (GO:0046483)	236	69	46.24	+	1.49	6.67E-04	1.27E-02
