,FS,MC,VG,name,annotation,model
BSU29200,True,False,True,accA,acetyl-CoA carboxylase (carboxyltransferase alpha subunit)acetyl-CoA carboxylase,S_Lipids
BSU29210,True,False,True,accD,acetyl-CoA carboxylase (carboxyltransferase beta subunit)acetyl-CoA carboxylase,S_Lipids
BSU38520,True,False,True,dltC,D-alanyl carrier protein,S_Cell_wall
BSU38530,True,False,True,dltD,D-alanine carrier protein:PG D-alanyltransferase,S_Cell_wall
BSU38510,True,False,True,dltB,PG:teichoic acid D-alanyltransferase,S_Cell_wall
BSU04730,True,False,True,sigB,"RNA polymerase, &sigma;BRNA polymerase sigma-37 factor (sigma(B))",Expression
BSU38500,True,False,True,dltA,D-alanine--[D-alanyl carrier protein] ligase,S_Cell_wall
BSU09540,True,False,True,plsC,1-acylglycerol-phosphate (1-acyl-G3P) acyltransferase,S_Lipids
BSU34200,True,False,True,sigL,"RNA polymerase sigma-54 factor (sigma-L)RNA polymerase, &sigma;L",Expression
BSU00280,True,False,True,tmk,thymidylate kinase,S_Nucleotides_and_nucleic_acids
BSU35720,True,False,True,tagF,CDP-glycerol:polyglycerol phosphate glycero-phosphotransferase (poly(glycerol phosphate) polymerase),S_Cell_wall
BSU35740,True,False,True,tagD,glycerol-3-phosphate cytidylyltransferaseglycerol-3-phosphate cytidylyltransferase monomer,S_Cell_wall
BSU35730,True,False,True,tagE,UDP-glucose:polyglycerol phosphate alpha-glucosyltransferase,S_Cell_wall
BSU24350,True,False,True,accB,acetyl-CoA carboxylase subunit (biotin carboxyl carrier subunit),S_Lipids
BSU24340,True,False,True,accC,acetyl-CoA carboxylase subunit (biotin carboxylase subunit),S_Lipids
BSU02290,True,False,True,psd,phosphatidylserine decarboxylase; 32 kDa precursor processed into a 29 kDa protein,S_Lipids
BSU02270,True,False,True,pssA,phosphatidylserine synthase,S_Lipids
BSU24050,True,False,True,bkdAA,branched-chain alpha-keto acid dehydrogenase E1 subunit,S_Lipids
BSU24030,True,False,True,bkdB,branched-chain alpha-keto acid dehydrogenase E2 subunit (lipoamide acyltransferase),S_Lipids
BSU24040,True,False,True,bkdAB,branched-chain alpha-keto acid dehydrogenase E1 subunit,S_Lipids
BSU24060,True,False,True,lpdV,branched-chain alpha-keto acid dehydrogenase E3 subunit (dihydrolipoamide dehydrogenase),S_Lipids
BSU11340,True,False,True,fabF,beta-ketoacyl-acyl carrier protein synthase II (involved in pimelate synthesis),S_Lipids
BSU15910,True,False,True,fabG,beta-ketoacyl-acyl carrier protein reductase,S_Lipids
BSU15900,True,False,True,fabD,malonyl CoA:acyl carrier protein transacylase,S_Lipids
BSU35750,True,False,True,tagA,"N-acetylmannosamine (ManNAc) C4 hydroxyl of a membrane-anchored N-acetylglucosaminyl diphospholipid (GlcNAc-pp-undecaprenyl, lipid I) glycosyltransferase",S_Cell_wall
BSU35760,True,False,True,tagB,"teichoic acid primase, CDP-glycerol:N-acetyl-beta-d-mannosaminyl-1, 4-N-acetyl-d-glucosaminyldiphosphoundecaprenyl glycerophosphotransferase",S_Cell_wall
BSU40550,True,False,True,ppaC,inorganic pyrophosphatase (Mn2+-dependent),S_Phosphate_and_sulfur
BSU22440,True,False,True,birA,biotin acetyl-CoA-carboxylase ligase and biotin regulon repressor (BirA-biotinoyl-5'-AMP),S_Lipids
BSU16540,True,False,True,cdsA,phosphatidate cytidylyltransferase (CDP-diglyceride synthase),S_Lipids
BSU21920,True,False,True,ugtP,UDP-glucose diacylglyceroltransferase,S_Lipids
BSU22730,True,False,True,ndk,nucleoside diphosphate kinase,S_Nucleotides_and_nucleic_acids
BSU25640,True,False,True,nadD,nicotinate-nucleotide adenylyltransferase,S_Coenzymes_and_prosthetic_groups
BSU38860,True,False,True,galE,UDP-glucose 4-epimerase,S_Carbohydrates_and_related_molecules
BSU03130,True,False,True,nadE,ammonium-dependent NAD+ synthetase,S_Coenzymes_and_prosthetic_groups
BSU35660,True,False,True,mnaA,UDP-<i>N</i>-acetylglucosamine 2-epimerase,S_Carbohydrates_and_related_molecules
BSU16920,True,False,True,pgsA,CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase,S_Lipids
BSU35670,True,False,True,gtaB,UTP-glucose-1-phosphate uridylyltransferase,S_Cell_wall
BSU35530,True,False,True,tagO,UDP-N-acetylglucosamine:undecaprenyl-P N-acetylglucosaminyl-1-P transferase,S_Cell_wall
BSU35710,True,False,True,tagG,wall teichoic acid ABC transporterwall teichoic acid ABC transporter membrane subunit,S_Cell_wall
BSU35680,True,False,True,ggaB,poly(glucosyl N-acetylgalactosamine 1-phosphate) glucosyltransferase,S_Cell_wall
BSU35690,True,False,True,ggaA,poly(glucosyl N-acetylgalactosamine 1-phosphate) glucosyltransferase (missing signal peptide),S_Cell_wall
BSU35700,True,False,True,tagH,wall teichoic acid ABC transporterwall teichoic acid ABC transporter ATP-binding protein,S_Cell_wall
