,lb,ub,rxn_flux,met_flux,reaction
GK1_FWD_BSU15680-MONOMER_mod_mg2_s,0,999999.0,0.014079470463792796,-0.014079470463792796,atp_s + gmp_s --> -4.27350427350427e-6*sigma BSU15680-MONOMER_mod_mg2_s + adp_s + gdp_s
GMPt6_FWD_CPLX_dummy_s,0,999999.0,0.010823381345333958,0.010823381345333958,gmp_c + h_c --> -4.27350427350427e-6*sigma CPLX_dummy_s + gmp_s + h_s
GUAPRT_REV_BSU00680-MONOMER_s,0,999999.0,0.005440194355096997,-0.005440194355096997,gmp_s + ppi_s --> -4.27350427350427e-6*sigma BSU00680-MONOMER_s + gua_s + prpp_s
GK2_FWD_BSU15680-MONOMER_mod_mg2_s,0,999999.0,0.0,-0.0,datp_s + gmp_s --> -1.11896284956934e-5*sigma BSU15680-MONOMER_mod_mg2_s + dadp_s + gdp_s
GK2_REV_BSU15680-MONOMER_mod_mg2_s,0,999999.0,0.0,0.0,dadp_s + gdp_s --> -1.11896284956934e-5*sigma BSU15680-MONOMER_mod_mg2_s + datp_s + gmp_s
GK1_REV_BSU15680-MONOMER_mod_mg2_s,0,999999.0,0.0,0.0,adp_s + gdp_s --> -4.27350427350427e-6*sigma BSU15680-MONOMER_mod_mg2_s + atp_s + gmp_s
BIOMASS_BS_10_FWD_CPLX_dummy_s,0,0,0.0,-0.0,0.000367 10fthf_s + 0.266902 ala__L_s + 0.00467 amp_s + 0.193021 arg__L_s + 0.147987 asn__L_s + 0.148014 asp__L_s + 105.053483 atp_s + 0.003205 ca2_s + 5e-06 cdlp_BS_s + 0.000251 cdp_s + 0.001042 cmp_s + 0.038902 ctp_s + 0.05699 cys__L_s + 0.00011 d12dg_BS_s + 0.022982 datp_s + 0.01738 dctp_s + 0.017398 dgtp_s + 0.022899 dttp_s + 0.00345 fe3_s + 0.00018 gdp_s + 0.260335 gln__L_s + 0.260378 glu__L_s + 0.408288 gly_s + 0.000503 gmp_s + 0.003624 gtca1_45_BS_s + 0.002347 gtca2_45_BS_s + 0.001819 gtca3_45_BS_s + 0.062667 gtp_s + 105.0 h2o_s + 0.081739 his__L_s + 0.269905 ile__L_s + 0.706312 k_s + 0.346445 leu__L_s + 7e-06 lipo1_24_BS_s + 6e-06 lipo2_24_BS_s + 1.8e-05 lipo3_24_BS_s + 1.5e-05 lipo4_24_BS_s + 0.323093 lys__L_s + 2.2e-05 lysylpgly_BS_s + 8.6e-05 m12dg_BS_s + 0.113326 met__L_s + 0.101714 mg2_s + 0.000266 mql7_s + 0.016164 nad_s + 0.000934 nadp_s + 0.000216 nadph_s + 0.101817 peptido_BS_s + 0.000176 pgly_BS_s + 0.175939 phe__L_s + 0.000918 ppi_s + 0.160642 pro__L_s + 0.00056 psetha_BS_s + 0.216213 ser__L_s + 6.6e-05 t12dg_BS_s + 0.003112 tcam_BS_s + 0.186317 thr__L_s + 0.054336 trp__L_s + 0.110824 tyr__L_s + 0.041501 utp_s + 0.306734 val__L_s --> -4.27350427350427e-6*sigma CPLX_dummy_s + 104.997414 adp_s + 105.0 h_s + 104.985613 pi_s
NTD9_FWD_BSU07840-MONOMER_s,0,999999.0,0.0,-0.0,gmp_s + h2o_s --> -4.43034286059605e-6*sigma BSU07840-MONOMER_s + gsn_s + pi_s
GMPt6_REV_CPLX_dummy_s,0,999999.0,0.0,-0.0,gmp_s + h_s --> -4.27350427350427e-6*sigma CPLX_dummy_s + gmp_c + h_c
GMPS2_FWD_BSU06360-MONOMER_mod_mg2_s,0,999999.0,0.0,0.0,atp_s + gln__L_s + h2o_s + xmp_s --> -5.64275700176595e-6*sigma BSU06360-MONOMER_mod_mg2_s + amp_s + glu__L_s + gmp_s + 2.0 h_s + ppi_s
GMPR_FWD_BSU32130-MONOMER_s,0,999999.0,0.0,-0.0,gmp_s + 2.0 h_s + nadph_s --> -1.35831440675917e-5*sigma BSU32130-MONOMER_s + imp_s + nadp_s + nh4_s
GUAPRT_FWD_BSU00680-MONOMER_s,0,999999.0,0.0,0.0,gua_s + prpp_s --> -4.27350427350427e-6*sigma BSU00680-MONOMER_s + gmp_s + ppi_s
